Volatility 3 Framework 2.26.2

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output

1312	584	svchost.exe	0x9a08b7882080	4	-	0	False	2025-07-23 11:05:59.000000 UTC	N/A	Disabled
4	0	System	0x9a08b7883080	110	-	N/A	False	2025-07-23 11:05:48.000000 UTC	N/A	Disabled
72	4	Registry	0x9a08b7955040	4	-	N/A	False	2025-07-23 11:05:42.000000 UTC	N/A	Disabled
8940	584	svchost.exe	0x9a08ba05c080	3	-	0	False	2025-07-23 11:10:17.000000 UTC	N/A	Disabled
7064	584	svchost.exe	0x9a08ba2682c0	5	-	0	False	2025-07-23 11:09:10.000000 UTC	N/A	Disabled
952	692	dllhost.exe	0x9a08ba598080	0	-	1	False	2025-07-23 11:15:47.000000 UTC	2025-07-23 11:15:57.000000 UTC	Disabled
320	4	smss.exe	0x9a08ba5b2040	2	-	N/A	False	2025-07-23 11:05:48.000000 UTC	N/A	Disabled
9756	2752	SearchProtocol	0x9a08ba77d080	0	-	1	False	2025-07-23 11:10:32.000000 UTC	2025-07-23 11:16:04.000000 UTC	Disabled
8912	692	RuntimeBroker.	0x9a08ba7852c0	8	-	1	False	2025-07-23 11:09:37.000000 UTC	N/A	Disabled
8816	692	ShellExperienc	0x9a08ba786080	39	-	1	False	2025-07-23 11:09:37.000000 UTC	N/A	Disabled
9144	692	WmiPrvSE.exe	0x9a08baf3a080	10	-	0	False	2025-07-23 11:15:17.000000 UTC	N/A	Disabled
8256	3892	FTK Imager.exe	0x9a08baf47080	0	-	1	False	2025-07-23 11:14:40.000000 UTC	2025-07-23 11:14:40.000000 UTC	Disabled
6296	6760	cmd.exe	0x9a08baff6080	0	-	1	False	2025-07-23 11:13:56.000000 UTC	2025-07-23 11:13:58.000000 UTC	Disabled
3788	692	SystemSettings	0x9a08bd4530c0	5	-	1	False	2025-07-23 11:11:01.000000 UTC	N/A	Disabled
7412	2428	MpCmdRun.exe	0x9a08bd6a90c0	9	-	0	False	2025-07-23 11:16:06.000000 UTC	N/A	Disabled
8372	1756	audiodg.exe	0x9a08bd6c92c0	2	-	0	False	2025-07-23 11:09:24.000000 UTC	N/A	Disabled
9000	584	sppsvc.exe	0x9a08bd6f0080	10	-	0	False	2025-07-23 11:16:10.000000 UTC	N/A	Disabled
2552	4660	conhost.exe	0x9a08bd726080	0	-	0	False	2025-07-23 11:08:58.000000 UTC	2025-07-23 11:14:11.000000 UTC	Disabled
3276	584	svchost.exe	0x9a08bd72c240	0	-	0	False	2025-07-23 11:08:58.000000 UTC	2025-07-23 11:09:07.000000 UTC	Disabled
592	492	lsass.exe	0x9a08bd84e080	9	-	0	False	2025-07-23 11:05:57.000000 UTC	N/A	Disabled
424	412	csrss.exe	0x9a08bd85d140	9	-	0	False	2025-07-23 11:05:56.000000 UTC	N/A	Disabled
1340	3892	WinRAR.exe	0x9a08bd9b80c0	4	-	1	False	2025-07-23 11:13:28.000000 UTC	N/A	Disabled
7724	692	RuntimeBroker.	0x9a08bd9e82c0	4	-	1	False	2025-07-23 11:09:04.000000 UTC	N/A	Disabled
